Taxon	Home_range	Mass	Diet	Environment
Hemiechinus_auritus	-1.39	-0.53	Carnivore	Terrestrial
Herpestes_ichneumon	0.45	0.47	Omnivore	Terrestrial
Herpestes_javanicus	-1.50	-0.36	Omnivore	Terrestrial
Herpestes_naso	-0.28	0.56	Omnivore	Terrestrial
Heterocephalus_glaber	-2.27	-1.41	Herbivore	Terrestrial
Hyaena_brunnea	1.32	1.68	Carnivore	Terrestrial
Hyaena_hyaena	1.77	1.60	Carnivore	Terrestrial
Hydrurga_leptonyx	4.18	2.54	Carnivore	Marine
Hyemoschus_aquaticus	-0.72	1.04	Herbivore	Terrestrial
Hylaeamys_megacephalus	-2.11	-1.18	Herbivore	Terrestrial
Hylobates_agilis	0.77	-0.57	Omnivore	Terrestrial
Hylobates_klossii	0.77	-0.68	Omnivore	Terrestrial
Hylobates_lar	0.75	-0.34	Omnivore	Terrestrial
Hylobates_moloch	0.77	-0.77	Omnivore	Terrestrial
Hylobates_muelleri	0.77	-0.42	Omnivore	Terrestrial
Hylobates_pileatus	0.74	-0.48	Omnivore	Terrestrial
Hylomys_suillus	-1.24	-2.74	Omnivore	Terrestrial
Hypogeomys_antimena	-1.46	0.07	Herbivore	Terrestrial
Hystrix_africaeaustralis	0.23	1.23	Herbivore	Terrestrial
Hystrix_cristata	1.13	-0.24	Omnivore	Terrestrial
Hystrix_indica	0.15	1.18	Herbivore	Terrestrial
Ichneumia_albicauda	-0.41	0.56	Carnivore	Terrestrial
Isoodon_auratus	-0.93	-0.41	Carnivore	Terrestrial
Isoodon_macrourus	0.18	-1.70	Omnivore	Terrestrial
Isoodon_obesulus	-1.68	-0.11	Carnivore	Terrestrial
Lagostomus_maximus	-2.00	0.72	Herbivore	Terrestrial
Lagothrix_lagotricha	0.80	0.60	Omnivore	Terrestrial
Lasiorhinus_krefftii	-0.60	1.41	Herbivore	Terrestrial
Lemmus_sibiricus	-2.08	-1.04	Herbivore	Terrestrial
Leontopithecus_chrysopygus	-0.18	0.07	Omnivore	Terrestrial
Leontopithecus_rosalia	-0.23	-0.43	Omnivore	Terrestrial
Leopardus_geoffroyi	0.85	0.56	Carnivore	Terrestrial
Leopardus_pardalis	0.84	1.00	Carnivore	Terrestrial
Leopardus_wiedii	1.04	0.56	Carnivore	Terrestrial
Lepilemur_edwardsi	-0.09	-2.02	Omnivore	Terrestrial
Leptailurus_serval	0.38	1.08	Carnivore	Terrestrial
Leptonychotes_weddelli	1.98	2.62	Carnivore	Marine
Lepus_americanus	-1.49	0.13	Herbivore	Terrestrial
Lepus_arcticus	0.46	0.61	Herbivore	Terrestrial
Lepus_californicus	0.20	0.36	Herbivore	Terrestrial
Lepus_capensis	-0.28	0.55	Herbivore	Terrestrial
Lepus_europaeus	-0.54	0.72	Herbivore	Terrestrial
Lepus_nigricollis	-1.86	0.50	Herbivore	Terrestrial
Lepus_timidus	-0.34	0.45	Herbivore	Terrestrial
Liomys_salvini	-1.38	-2.76	Omnivore	Terrestrial
Lobodon_carcinophagus	5.57	2.40	Carnivore	Marine
Lophocebus_albigena	0.87	0.61	Omnivore	Terrestrial
Loris_tardigradus	-0.60	-2.00	Omnivore	Terrestrial
Loxodonta_africana	3.24	3.60	Herbivore	Terrestrial
Lutra_canadensis	1.63	0.97	Carnivore	Marine
Lutra_lutra	0.95	1.41	Carnivore	Terrestrial
Lutreolina_crassicaudata	-0.26	-2.73	Carnivore	Terrestrial
Lutrogale_perspicillata	0.95	0.80	Carnivore	Terrestrial
Lycaon_pictus	2.64	1.43	Carnivore	Terrestrial
Lynx_canadensis	1.92	1.01	Carnivore	Terrestrial
Lynx_lynx	2.26	1.48	Carnivore	Terrestrial
Lynx_pardinus	0.98	1.04	Carnivore	Terrestrial
Lynx_rufus	1.60	1.05	Carnivore	Terrestrial
Macaca_silenus	0.78	-0.07	Omnivore	Terrestrial
Macropus_antilopinus	-0.19	1.44	Herbivore	Terrestrial
Macropus_dorsalis	-0.04	1.05	Herbivore	Terrestrial
Macropus_fuliginosus	0.51	1.34	Herbivore	Terrestrial
Macropus_giganteus	0.79	1.02	Herbivore	Terrestrial
Macropus_robustus	-0.01	1.33	Herbivore	Terrestrial
Macropus_rufogriseus	-0.79	1.23	Herbivore	Terrestrial
Macropus_rufus	0.89	1.67	Herbivore	Terrestrial
Macroscelides_proboscideus	-1.41	0.00	Omnivore	Terrestrial
Madoqua_guentheri	-1.56	0.66	Herbivore	Terrestrial
Manis_temminckii	1.12	1.10	Carnivore	Terrestrial
Marmosa_robinsoni	-1.22	-2.66	Omnivore	Terrestrial
Marmota_flaviventris	-1.24	0.53	Herbivore	Terrestrial
Marmota_monax	-0.78	0.53	Herbivore	Terrestrial
Martes_americana	0.85	-0.05	Carnivore	Terrestrial
Martes_foina	0.64	0.26	Carnivore	Terrestrial
Martes_martes	0.96	0.39	Carnivore	Terrestrial
Martes_pennanti	1.22	0.50	Carnivore	Terrestrial
Mastomys_natalensis	-2.93	-1.18	Omnivore	Terrestrial
Megaptera_novaeangliae	4.68	4.52	Carnivore	Marine
Meles_meles	0.34	1.09	Omnivore	Terrestrial
Melursus_ursinus	1.00	1.99	Carnivore	Terrestrial
Mephitis_mephitis	0.47	0.66	Omnivore	Terrestrial
Meriones_hurrianae	-3.88	-1.05	Herbivore	Terrestrial
Microdipodops_megacephalus	-1.91	-2.33	Omnivore	Terrestrial
Microtus_agrestis	-3.15	-1.42	Herbivore	Terrestrial
Microtus_californicus	-4.07	-1.15	Herbivore	Terrestrial
Microtus_montanus	-3.82	-1.25	Herbivore	Terrestrial
Microtus_ochrogaster	-3.17	-1.45	Herbivore	Terrestrial
Microtus_pennsylvanicus	-3.39	-1.30	Herbivore	Terrestrial
Microtus_pinetorum	-4.44	-1.53	Herbivore	Terrestrial
Microtus_richardsoni	-3.38	-1.07	Herbivore	Terrestrial
Miopithecus_talapoin	0.10	0.08	Omnivore	Terrestrial
Mirounga_angustirostris	3.90	3.08	Carnivore	Marine
Mirounga_leonina	5.69	3.18	Carnivore	Marine
Mirza_coquereli	-0.49	-1.40	Omnivore	Terrestrial
Monachus_schauinslandi	4.00	2.31	Carnivore	Marine
Monodelphis_americana	-1.71	-3.33	Carnivore	Terrestrial
Monodon_monoceros	4.72	3.11	Carnivore	Marine
Mungos_mungo	0.10	0.33	Carnivore	Terrestrial
Muntiacus_reevesi	-0.79	1.13	Herbivore	Terrestrial
Mus_musculus	-1.71	-3.21	Carnivore	Terrestrial
Muscardinus_avellanarius	-2.36	-1.51	Herbivore	Terrestrial
Mustela_erminea	0.12	-0.57	Carnivore	Terrestrial
Mustela_frenata	-0.75	-0.82	Carnivore	Terrestrial
Mustela_lutreola	-0.25	-0.68	Carnivore	Terrestrial
Mustela_nigripes	-0.04	0.00	Carnivore	Terrestrial
Mustela_nivalis	-0.19	-1.06	Carnivore	Terrestrial
Mustela_putorius_furo	-0.05	-0.09	Carnivore	Terrestrial
Mustela_sibirica	-0.28	0.61	Carnivore	Terrestrial
Myocastor_coypus	0.80	-1.52	Omnivore	Terrestrial
Myodes_californicus	-2.80	-1.65	Herbivore	Terrestrial
Myodes_gapperi	-1.70	-3.26	Omnivore	Terrestrial
Myodes_glareolus	-1.68	-2.92	Omnivore	Terrestrial
Myopus_schisticolor	-3.01	-1.52	Herbivore	Terrestrial
Myrmecobius_fasciatus	-0.29	-0.46	Carnivore	Terrestrial
Myrmecophaga_tridactyla	0.51	1.48	Carnivore	Terrestrial
Nasua_narica	0.24	0.67	Omnivore	Terrestrial
Nasua_nasua	0.58	-0.02	Omnivore	Terrestrial
Nectomys_squamipes	-0.73	-2.66	Omnivore	Terrestrial
Neomys_fodiens	-1.82	-3.77	Omnivore	Terrestrial
Neophoca_cinervea	2.78	1.95	Carnivore	Marine
Neotoma_cinerea	-1.32	-0.40	Herbivore	Terrestrial
Neotoma_fuscipes	-2.60	-0.51	Herbivore	Terrestrial
Neotoma_lepida	-3.27	-0.88	Herbivore	Terrestrial
Neotoma_micropus	-3.24	-0.59	Herbivore	Terrestrial
Nesomys_audeberti	-2.02	-0.67	Herbivore	Terrestrial
Nesomys_rufus	-2.30	-0.78	Herbivore	Terrestrial
Nyctereutes_procyonoides	0.40	0.81	Omnivore	Terrestrial
Ochotona_curzoniae	-2.86	-0.81	Herbivore	Terrestrial
Ochotona_princeps	-2.73	-0.83	Herbivore	Terrestrial
Ochrotomys_nuttalli	-1.64	-2.38	Omnivore	Terrestrial
Odocoileus_hemionus	1.54	1.73	Herbivore	Terrestrial
Odocoileus_virginianus	0.40	1.94	Herbivore	Terrestrial
Okapia_johnstoni	0.77	2.36	Herbivore	Terrestrial
Ondatra_zibethicus	-1.56	-3.09	Omnivore	Terrestrial
Ondatra_zibethicus_	-2.22	0.13	Herbivore	Terrestrial
Onychogalea_fraenata	-0.37	0.70	Herbivore	Terrestrial
Onychomys_torridus	-1.59	-1.66	Carnivore	Terrestrial
Orcaella_heinsohni	2.28	2.11	Carnivore	Marine
Orcinus_orca	3.72	3.75	Carnivore	Marine
Oreamnos_americanus	1.37	2.80	Herbivore	Terrestrial
Ornithorhynchus_anatinus	-1.16	0.18	Carnivore	Terrestrial
Oryctolagus_cuniculus	-1.20	0.20	Herbivore	Terrestrial
Oryzomys_palustris	-1.27	-2.56	Omnivore	Terrestrial
Otaria_flavescens	3.86	2.37	Carnivore	Marine
Otocyon_megalotis	0.55	0.62	Carnivore	Terrestrial
Otolemur_crassicaudatus	0.08	-1.15	Omnivore	Terrestrial
Otolemur_garnettii	-0.09	-0.89	Omnivore	Terrestrial
Ovis_ammon	0.77	2.06	Herbivore	Terrestrial
Ovis_canadensis	1.44	1.96	Herbivore	Terrestrial
Ozotoceros_bezoarticus	0.90	1.54	Herbivore	Terrestrial
Paguma_larvata	0.57	0.48	Omnivore	Terrestrial
Pan_troglodytes	1.65	1.10	Omnivore	Terrestrial
Panthera_leo	2.31	2.31	Carnivore	Terrestrial
Panthera_onca	1.92	1.92	Carnivore	Terrestrial
Panthera_pardus	2.70	1.68	Carnivore	Terrestrial
Panthera_tigris	1.73	2.05	Carnivore	Terrestrial
Paradoxurus_hermaphroditus	0.73	0.54	Omnivore	Terrestrial
Parascalops_breweri	-1.29	-4.35	Omnivore	Terrestrial
Paraxerus_cepapi	-0.65	-2.41	Omnivore	Terrestrial
Paraxerus_palliatus	-1.56	-0.43	Herbivore	Terrestrial
Pecari_tajacu	0.40	1.37	Herbivore	Terrestrial
Perameles_bougainville	-0.64	-1.15	Omnivore	Terrestrial
Perodicticus_potto	0.03	-0.92	Omnivore	Terrestrial
Perognathus_inornatus	-1.99	-3.75	Omnivore	Terrestrial
Perognathus_merriami	-2.16	-2.05	Omnivore	Terrestrial
Perognathus_parvus	-1.67	-2.73	Omnivore	Terrestrial
Peromyscus_attwateri	-1.55	-2.74	Omnivore	Terrestrial
Peromyscus_boylii	-2.44	-1.55	Omnivore	Terrestrial
Peromyscus_californicus	-2.92	-1.34	Omnivore	Terrestrial
Peromyscus_crinitus	-1.79	-2.47	Omnivore	Terrestrial
Peromyscus_gossypinus	-1.56	-2.30	Carnivore	Terrestrial
Peromyscus_leucopus	-1.91	-1.64	Omnivore	Terrestrial
Peromyscus_maniculatus	-2.88	-1.57	Omnivore	Terrestrial
Peromyscus_truei	-1.85	-1.60	Omnivore	Terrestrial
Petauroides_volans	-1.81	0.11	Herbivore	Terrestrial
Petaurus_australis	-0.34	-0.24	Omnivore	Terrestrial
Petaurus_breviceps	-1.37	-1.14	Omnivore	Terrestrial
Petaurus_norfolcensis	-1.42	-0.64	Omnivore	Terrestrial
Petrodromus_tetradactylus	-1.92	-0.70	Carnivore	Terrestrial
Petrogale_assimilis	-0.92	0.67	Herbivore	Terrestrial
Phacochoerus_aethiopicus	0.24	1.91	Herbivore	Terrestrial
Philander_opossum	-0.37	-2.51	Omnivore	Terrestrial
Phoca_vitulina	2.60	1.50	Carnivore	Marine
Phocarctos_hookeri	2.41	2.11	Carnivore	Marine
Phocoena_phocoena	4.28	1.74	Carnivore	Marine
Piliocolobus_badius	0.93	-0.15	Omnivore	Terrestrial
Podomys_floridanus	-1.51	-2.52	Omnivore	Terrestrial
Pongo_pygmaeus	1.73	0.74	Omnivore	Terrestrial
Potorous_longipes	-0.43	0.28	Herbivore	Terrestrial
Potos_flavus	-0.55	0.46	Herbivore	Terrestrial
Priodontes_maximus	1.61	0.66	Carnivore	Terrestrial
Prionailurus_bengalensis	0.38	0.40	Carnivore	Terrestrial
Procyon_lotor	0.52	1.03	Omnivore	Terrestrial
Proechimys_brevicauda	-0.55	-2.30	Omnivore	Terrestrial
Proechimys_cuvieri	-2.24	-0.46	Herbivore	Terrestrial
Proechimys_longicaudatus	-0.69	-2.68	Omnivore	Terrestrial
Proechimys_semispinosus	-2.98	-0.37	Herbivore	Terrestrial
Proechimys_simonsi	-0.55	-2.50	Omnivore	Terrestrial
Proteles_cristatus	0.58	1.00	Carnivore	Terrestrial
Pseudalopex_culpaeus	0.69	0.87	Carnivore	Terrestrial
Pseudalopex_griseus	0.30	0.60	Carnivore	Terrestrial
Pseudomys_chapmani	-1.13	-2.00	Omnivore	Terrestrial
Pseudomys_fuscus	-3.20	-0.91	Herbivore	Terrestrial
Pseudomys_higginsi	-1.20	-2.67	Omnivore	Terrestrial
Pteromys_volans	-0.84	-1.40	Omnivore	Terrestrial
Pteronura_brasiliensis	1.41	2.01	Carnivore	Terrestrial
Pudu_puda	-0.70	0.88	Herbivore	Terrestrial
Puma_concolor	2.49	1.95	Carnivore	Terrestrial
Puma_yagouaroundi_	1.83	0.83	Carnivore	Terrestrial
Pygeretmus_pumilio	-2.50	-1.28	Herbivore	Terrestrial
Rangifer_tarandus	3.55	2.01	Herbivore	Terrestrial
Raphicerus_campestris	-0.21	1.05	Herbivore	Terrestrial
Rattus_everetti	-0.60	-2.37	Omnivore	Terrestrial
Rattus_exulans	-1.30	-3.10	Omnivore	Terrestrial
Rattus_rattus	-0.85	-2.70	Omnivore	Terrestrial
Rattus_verecundus	-1.01	-2.82	Omnivore	Terrestrial
Reithrodontomys_fulvescens	-1.94	-2.77	Omnivore	Terrestrial
Reithrodontomys_montanus	-1.96	-2.61	Omnivore	Terrestrial
Reithrodontomys_raviventris	-2.67	-1.96	Herbivore	Terrestrial
Rhynchocyon_chrysopygus	-1.54	-0.27	Carnivore	Terrestrial
Rupicapra_rupicapra	0.53	1.49	Herbivore	Terrestrial
Saguinus_fuscicollis	-0.40	-0.48	Omnivore	Terrestrial
Saguinus_midas	-0.27	-1.05	Omnivore	Terrestrial
Saguinus_oedipus	-0.34	-0.77	Omnivore	Terrestrial
Saimiri_sciureus	-0.13	-0.19	Omnivore	Terrestrial
Scalopus_aquaticus	-2.13	-0.99	Carnivore	Terrestrial
Scapanus_orarius	-1.21	-2.82	Omnivore	Terrestrial
Sciurus_aberti	-0.88	-0.10	Herbivore	Terrestrial
Sciurus_carolinensis	-2.31	-0.27	Herbivore	Terrestrial
Sciurus_granatensis	-0.50	-2.00	Omnivore	Terrestrial
Sciurus_lis	-0.77	-0.58	Herbivore	Terrestrial
Sciurus_niger	-0.89	-0.02	Herbivore	Terrestrial
Sciurus_vulgaris	-1.13	-0.48	Herbivore	Terrestrial
Sigmodon_hispidus	-0.96	-2.55	Omnivore	Terrestrial
Sminthopsis_leucopus	-1.94	-1.64	Carnivore	Terrestrial
Sorex_araneus	-2.04	-3.28	Omnivore	Terrestrial
Sorex_arcticus	-2.09	-2.32	Carnivore	Terrestrial
Sorex_cinereus	-2.38	-2.30	Carnivore	Terrestrial
Sorex_coronatus	-2.03	-3.43	Carnivore	Terrestrial
Sorex_gracillimus	-2.36	-3.56	Carnivore	Terrestrial
Sorex_minutus	-2.36	-2.85	Omnivore	Terrestrial
Sorex_monticolus	-2.16	-2.78	Omnivore	Terrestrial
Sorex_palustris	-1.88	-2.59	Omnivore	Terrestrial
Sorex_unguiculatus	-1.85	-4.11	Carnivore	Terrestrial
Sotalia_fluviatilis	1.18	1.74	Carnivore	Marine
Sotalia_guianensis	0.90	1.90	Carnivore	Marine
Sousa_chinensis	2.29	2.33	Carnivore	Marine
Spalacopus_cyanus	-4.39	-1.00	Herbivore	Terrestrial
Spermophilus_beecheyi	-3.28	-0.14	Herbivore	Terrestrial
Spermophilus_columbianus	-3.27	-0.24	Herbivore	Terrestrial
Spermophilus_franklinii	-0.77	-0.20	Herbivore	Terrestrial
Spermophilus_parryii	-1.52	-0.10	Herbivore	Terrestrial
Spermophilus_spilosoma	-1.82	-0.97	Herbivore	Terrestrial
Spermophilus_tereticaudus	-0.83	-2.00	Omnivore	Terrestrial
Spermophilus_tridecemlineatus	-1.81	-0.70	Herbivore	Terrestrial
Spermophilus_variegatus	-1.37	-0.13	Herbivore	Terrestrial
Spilogale_putorius	-0.63	-0.23	Omnivore	Terrestrial
Stylodipus_telum	-2.35	-1.22	Herbivore	Terrestrial
Suricata_suricatta	-0.14	1.15	Carnivore	Terrestrial
Sus_scrofa	0.90	1.92	Omnivore	Terrestrial
Sylvilagus_aquaticus	-1.74	0.33	Herbivore	Terrestrial
Sylvilagus_floridanus	-1.54	0.13	Herbivore	Terrestrial
Sylvilagus_palustris	-1.40	0.13	Herbivore	Terrestrial
Synaptomys_cooperi	-2.34	-1.42	Herbivore	Terrestrial
Syncerus_caffer	1.91	2.77	Herbivore	Terrestrial
Tachyglossus_aculeatus	-0.35	0.65	Carnivore	Terrestrial
Tachyoryctes_splendens	-4.00	-0.59	Herbivore	Terrestrial
Talpa_europaea	-2.52	-1.02	Carnivore	Terrestrial
Talpa_romana	-2.55	-1.09	Carnivore	Terrestrial
Tamandua_mexicana	0.62	-0.60	Carnivore	Terrestrial
Tamandua_tetradactyla	0.68	0.48	Carnivore	Terrestrial
Tamias_amoenus	-2.09	-1.57	Herbivore	Terrestrial
Tamias_minimus	-1.83	-1.37	Herbivore	Terrestrial
Tamias_quadrimaculatus	-1.08	-2.22	Omnivore	Terrestrial
Tamias_quadrivittatus	-1.27	-1.37	Herbivore	Terrestrial
Tamias_senex	-1.05	-2.00	Omnivore	Terrestrial
Tamias_sibiricus	-2.71	-1.02	Herbivore	Terrestrial
Tamias_speciosus	-1.22	-2.00	Omnivore	Terrestrial
Tamias_townsendii	-1.10	-2.14	Omnivore	Terrestrial
Tamias_umbrinus	-1.49	-1.37	Herbivore	Terrestrial
Tamiasciurus_douglasii	-0.65	-2.49	Omnivore	Terrestrial
